280608_5.0017;TROS
280406_5.0009;M£YNARSKA WOLA
320104_5.0049;Drzonowo Bia≥ogardzkie
221103_1.0005;5
280105_2.0029;NOWA WIEå I£AWECKA
321506_2.0023;DrÍøno
281306_2.0008;KRUPIN
220505_2.0002;Egiertowo
220505_2.0009;Po≥Íczyno
220505_2.0011;Rπty
280105_2.0003;B•DZE
280105_2.0013;GA£AJNY
280402_2.0008;GRUØAJNY
326101_1.0027;0027
281304_5.0003;BORAWSKIE
281306_2.0002;CIMOCHY
281306_2.0016;SOBOLE
220505_2.0015;Starkowa Huta
220603_2.0001;Bπk
280402_2.0009;GWIèDZINY
281401_5.0016;£ GAJNY
281104_5.0019;OLSZEWO
200103_2.0027;TAJNO £ANOWE
321304_2.0005;Darstkowo
181201_2.0017;SierakÛw
181201_2.0011;Las UchodÛw
181201_2.0015;Kusze
321505_2.0037;Storkowo
281408_2.0005;LUTRY
281204_2.0016;TOMASZEWO
181201_2.0006;Huta Krzeszowska
181201_2.0022;RogÛünia
281408_2.0010;W”JTOWO
320306_5.0052;Cieszyno
320306_5.0049;Darskowo
321304_2.0009;Karwice
181405_5.0002;CHODAK”WKA
181405_5.0005;£OPUSZKA MA£A
280803_2.0051;WYMIARKI
280803_2.0027;MAØANY
281401_5.0027;SZYNOWO
281401_5.0028;TUMIANY
181405_5.0011;SIEDLECZKA
281401_5.0030;W”JTOWO
181406_2.0011;Urzejowice
181605_2.0006;£ubno
321303_2.0020;Palczewice
280803_2.0031;NOWA WIEå K TRZY—SKA
281104_5.0025;RADOMIN
061408_5.0002;BRONICE
280408_2.0008;MARWICA
320301_5.0142;Ko≥omπt
321603_5.0078;Borkowo
281104_5.0005;FR•KNOWO
281402_5.0001;BISKUPIEC KOL.
061408_5.0005;CYNK”W
321603_5.0100;Zajπczkowo
200801_5.2102;W”LKA P-KLEWIANKA
200801_5.2103;W”LKA P-SZACI£Y
281402_5.0003;BOTOWO
320301_5.0064;Prosinko
321603_5.0101;Gawroniec
321603_5.0102;Toporzyk
321603_5.0105;Lipno
280803_2.0035;PARCZ
281104_5.0033;ZAGRZEWO
061109_2.0010;NURZYNA
061109_2.0014;SZANIAWY-MATYSY
320906_5.0209;Rosocha
280803_2.0010;GODZIKOWO
280903_2.0020;PGR MORAWA
281402_5.0006;BORKI WIELKIE
281402_5.0008;KAMIONKA
061502_2.0005;NOWINY
280408_2.0013;åWI TY GAJ
281202_2.0015;RYWA£DZIK
061109_2.0006;KARW”W
200801_5.2107;W”LKA P-BAGNO II
281402_5.0009;KOBU£TY
061502_2.0010;STARA WIEå
200801_5.2120;W”LKA P-BOBR”WKA II
280903_2.0026;KNIPY
281402_5.0012;MOJTYNY
281402_5.0013;NAJDYMOWO
180804_2.0028;Hucisko
180804_2.0030;Piskorowice
200801_5.3111;OLSZOWA DR. ZA TWIER
321503_5.0126;Bia≥a
281104_5.0013;£YSAKOWO
281402_5.0015;PARLEZA MA£A
281410_2.0019;PATRYKI
200103_2.0021;RESZKI
321304_2.0024;åwiÍcianowo
281410_2.0025;SILICE
281410_2.0026;STARA KALETKA
281204_2.0009;MARZ CICE
321505_2.0007;Nosibπdy
281104_5.0017;NATA∆ WIELKA
281401_5.0014;LESZNO
281402_5.0023;W G”J
200103_2.0034;£•KI NAD RZEK• NETT•
061109_2.0005;JAKUSZE
061109_2.0003;D BOWIERZCHY
200801_5.5432;P£OCHOWO
200903_2.0021;PAW£”WKA
200905_2.0022;POSEJNY
201006_2.0015;SOBIATYNO
201006_2.0016;WA£KI
201108_4.0134;M.SOK”£KA-KRAåNIANY
200106_2.0001;DALNY LAS
201209_2.0024;ROGOØAJNY MA£E
326201_1.1068;årÛdmieúcie 68
326201_1.3037;Nad Odrπ 37
182003_2.0001;GrÍbÛw
182003_2.0002;Jamnica
326201_1.1028;årÛdmieúcie 28
326201_1.2096;Pogodno 96
200105_2.0002;BARSZCZOWA G”RA
326201_1.3084;Nad Odrπ 84
326201_1.4126;Dπbie 126
201004_2.0040;TARGOWISK
326201_1.4155;Dπbie 155
200903_2.0034;ROSOCHATY R”G
326301_1.0007;åwinoujúcie 7
200903_2.0005;CZARNA BUCHTA
201205_2.0029;WASIL”WKA
326201_1.3069;Nad Odrπ 69
326201_1.2010;Pogodno 10
326201_1.3056;Nad Odrπ 56
201004_2.0043;ØERY-PILAKI
200105_2.0015;PIJAWNE RUSKIE
200903_2.0010;JEGL”WEK
200903_2.0011;JEZIORKI
326201_1.4045;Dπbie 45
200905_2.0013;KONSTANTYN”WKA
201004_2.0006;CZARNA CERKIEWNA
201006_2.0003;CHA—KI I KOåCIUKOWICZE
326201_1.2055;Pogodno 55
201006_2.0004;CHOROSZCZEWO
200905_2.0033;BOSSE
200905_2.0034;DUBOWO
201004_2.0013;KAMIANKI
201205_2.0002;BOLESTY
201205_2.0014;LUDWINOWO
201209_2.0017;MARIANKA
201004_2.0014;KORYCINY
201006_2.0009;MIKULICZE
201205_2.0015;MOCZYD£Y
200105_2.0026;JURYZDYKA
200105_2.0023;SZCZEPKI
200804_5.0009;NOWINY ZDROJE
200605_5.0008;Cwaliny
200605_5.0009;Dzierzbia
201207_2.0012;KOROBIEC
281903_5.0030;W GIELSZTYN
321606_2.0025;Berkanowo
326101_1.0043;0043
321606_2.0039;Niemierzyno
321606_2.0040;Rogalino
321606_2.0079;Bierzwnica Pgr
321606_2.0029;£πkowo
326101_1.0001;0001
321604_2.0050;Rπbino
201108_5.0019;KANTOR”WKA
321605_2.0019;SobiemirÛw
321605_2.0036;Bia≥y ZdrÛj
321605_2.0002;Rokosowo
321606_2.0076;Kluczkowo
200602_2.0001;Andrychy
200602_2.0003;Che≥chy
200605_5.0011;Hipolitowo
201108_5.0021;KRAåNIANY
281902_2.0003;JAKUN”WKO
200602_2.0005;Gnatowo
201103_2.0017;OLSZYNKA
201103_2.0019;POPIO£”WKA
201105_2.0007;CZUPRYNOWO
201208_2.0009;DEKSZNIE
201208_2.0025;£OWOCIE
281903_5.0002;BRZOZOWO
201108_5.0026;LIPINA
200605_5.0022;Poryte 200605_5.0022
201104_5.0016;NIETUPA KOLONIA
281903_5.0014;PAROWO
200605_5.0023;Ramoty
201108_5.0012;HA£O
201208_2.0003;ANDRZEJEWO
201208_2.0031;POKOMSZE
201104_5.0015;NIETUPA
201208_2.0004;BECEJ£Y
320303_5.0080;Prostynia
200605_5.0028;Soko≥y
201108_5.0032;MOCZALNIA STARA
281508_5.0007;GULBITY
281508_5.0008;J DRYCH”WKO
281508_5.0010;KALNIK
201103_2.0028;WY£UDKI
201108_5.0034;OR£OWICZE
201207_2.0001;BIA£A WODA
201105_2.0026;STAROWLANY
201207_2.0003;BOBROWISKO
281508_5.0017;MARKOWO
281508_5.0019;NOWY DW”R
200602_2.0022;Pasichy
201207_2.0037;BR”D STARY
200605_5.0006;Cedry
201208_2.0052;ØUBRYN
200602_2.0026;Skroda Wielka
026201_1.0020;BIA£KA
020907_4.0001;OBR B 1
200214_5.0022;LASZKI
200212_5.0005;JANIN
046101_1.0468;0468
046101_1.0471;0471
046101_1.0429;0429
046101_1.0474;0474
081106_5.0017;TarnÛw
046101_1.0079;0079
046101_1.0034;0034
040305_2.0012;Nowa Wioska
040804_5.0005;G£”WCZYN
060907_2.0027;WYSOKIE
100404_2.0046;POKRZYWNIA
046101_1.0448;0448
060902_2.0016;MAJDAN RADLI—SKI
102104_2.0015;REWICA KOLONIA
046101_1.0403;0403
100402_2.0002;DRZYKOZY
046101_1.0294;0294
060103_2.0016;KAMIENICZNE
046101_1.0345;0345
046201_1.0019;019
046201_1.0091;091
046101_1.0393;0393
046101_1.0159;0159
046101_1.0396;0396
046201_1.0038;038
041811_5.0001;Antoniewo
046101_1.0442;0442
046101_1.0255;0255
101409_5.0040;SOCHA KOLONIA
046101_1.0061;0061
046101_1.0022;0022
101409_4.0009;OBR B 9
101403_2.0012;OR£Y
101404_2.0034;ZG”RZ KOLONIA
080902_2.0006;PrzewÛz
102002_1.0011;OZORK”W 11
060909_2.0016;NOWINY ØUKOWSKIE
060501_2.0011;KOLONIA WOLA STUDZIA—SKA
140804_4.0018;18
140705_5.0011;KÍpa WÛlczyÒska
140801_1.0029;29
140801_1.0019;19
140105_2.0030;KALIN”W-GABRIEL”W
140504_5.0002;ADAM”W
140802_2.0002;BOØA WOLA
140603_2.0027;KOZ£”W
020807_2.0022;RogÛwek
020906_2.0014;STUDNICA
020903_2.0011;PAW£OWICE MA£E
126201_1.0053;053
126301_1.0298;0298
140501_1.0003;05-03
140501_1.0004;05-04
126201_1.0017;017
140105_2.0029;ZABAGNIE
126301_1.0044;0044
141404_5.0044;Pianowo Barg≥y
141501_2.0025;OSTR”WEK
141701_1.0060;60
141702_1.0059;59
141704_4.0032;32
141507_2.0020;WYØEGA
141804_4.0034;34
141103_2.0036;ZELKI D•BROWE
141801_4.0501;5-01
141804_4.0003;3
141801_4.0802;8-02
141901_2.0008;DZIEDZICE
141403_2.0006;KRUBICZEW
141804_4.0002;2
141802_4.0332;03-32
141904_2.0019;OSIEK
142404_4.0024;PU£TUSK-24
142803_2.0047;STEGNA
143201_4.0025;25
143403_1.0002;01-02
142703_2.0017;MALANOWO NOWE
142010_2.0013;FOLWARK RACI•Ø
142203_2.0002;BORKOWO BOKSY
142203_2.0006;CHROSTOWO ZALESIE
142103_4.0010;10
142401_2.0014;NOWE BORZA
146511_8.1107;4-11-07
146514_8.1323;3-13-23
160807_2.0056;OSIECKO
143401_1.0027;27
146511_8.1111;4-11-11
146514_8.1210;3-12-10
146511_8.1012;4-10-12
143409_4.0002;01-02
146502_8.1112;6-11-12
146507_8.0303;3-03-03
146515_8.0712;8-07-12
143409_4.0014;02-04
143401_1.0003;03
146503_8.0104;4-01-04
146514_8.0732;3-07-32
146514_8.0723;3-07-23
146514_8.1422;3-14-22
146513_8.1016;1-10-16
146503_8.0103;4-01-03
143403_1.0023;01-23
146514_8.1150;3-11-50
146514_8.1290;3-12-90
146514_8.1429;3-14-29
146508_8.1403;4-14-03
146509_8.0050;3-00-50
146509_8.0810;3-08-10
146515_8.0407;8-04-07
146513_8.0943;1-09-43
146506_8.0317;2-03-17
146513_8.1080;1-10-80
146513_8.0830;1-08-30
146511_8.0806;4-08-06
146514_8.1346;3-13-46
146509_8.0049;3-00-49
146514_8.1124;3-11-24
146518_8.0704;6-07-04
146502_8.1210;6-12-10
146514_8.1502;3-15-02
146513_8.1005;1-10-05
143401_1.0041;41
146507_8.0119;3-01-19
146507_8.0203;3-02-03
146503_8.0323;4-03-23
146502_8.1306;6-13-06
146504_8.1304;7-13-04
143402_1.0001;1-01
146503_8.0418;4-04-18
146505_8.0312;0312
146505_8.0307;0307
146401_1.0076;76
146505_8.0714;0714
146505_8.0406;0406
143409_4.0015;03-01
146504_8.1208;7-12-08
146505_8.0228;0228
146503_8.0302;4-03-02
143201_4.0008;08
143412_4.0017;17
143702_2.0003;BAGIENICE NOWE
146503_8.1605;4-16-05
143402_1.0014;1-14
143201_4.0028;28
146518_8.0207;6-02-07
201310_2.0008;BUJNY-BISZEWO
201109_5.0027;LESZCZANY
201107_2.0010;KRZYSZTOFOROWO
200803_2.0018;STAROWOLA
201310_2.0001;BROK
146517_8.0405;2-04-05
146517_8.0815;2-08-15
146508_8.1203;4-12-03
146515_8.0405;8-04-05
160401_5.0023;POGORZA£KA
146518_8.0404;6-04-04
146516_8.0617;1-06-17
146508_8.1125;4-11-25
146512_8.1111;2-11-11
146518_8.0308;6-03-08
246401_1.0284;284
246401_1.0365;365
260401_2.0015;HUTA SZKLANA
246401_1.0115;115
246401_1.0226;226
246401_1.0093;93
246401_1.0343;343
221206_2.0007;Komorczyn
240301_1.0037;37
221303_1.0025;25
247401_1.0040;40
240707_2.0004;Koszwice
226101_1.0313;313S
240301_1.0038;38
240902_5.0021;RzeniszÛw £azy
226101_1.0026;026
281406_5.0010;MODLINY
260607_2.0030;TOMASZ”W
301701_1.0072;72
301701_1.0139;139
300903_2.0026;RDUT”W
300910_2.0009;FELICJAN”W
300701_2.0014;KORAB
301701_1.0023;23
300602_5.0011;PRUSY
320801_1.0014;14
320504_5.0029;Jarzys≥aw
320501_2.0015;RaciborÛw
320302_4.0002;Drawsko Pom.-2
302602_5.0002;BRZEåNICA
046401_1.0810;W≥oc≥awek KM 81
326201_1.4052;Dπbie 52
280503_2.0013;KILE
326201_1.2064;Pogodno 64
062014_2.0021;SkokÛwka
326201_1.1099;årÛdmieúcie 99
326201_1.2008;Pogodno 8
046401_1.0721;W≥oc≥awek KM 72/1
046401_1.0800;W≥oc≥awek KM 80
326201_1.4027;Dπbie 27
041105_5.0005;HIGIENIEWO
046401_1.0930;W≥oc≥awek KM 93
326201_1.1017;årÛdmieúcie 17
201208_2.0016;JEZIORKI
321304_2.0015;MalechÛwko
326201_1.2005;Pogodno 5
326201_1.4163;Dπbie 163
321605_2.0001;S≥owenkowo
201209_2.0011;K£AJPEDA
326201_1.2019;Pogodno 19
326201_1.3097;Nad Odrπ 97
022606_2.0018;WYSOCKO
286101_1.0016;16
286101_1.0021;21
286101_1.0009;9
220202_5.0009;Kosobudy
220202_5.0019;Skoszewo
220203_2.0002;Charzykowy
220203_2.0003;Chojniczki
220203_2.0008;Granowo
220203_2.0013;Lichnowy
220203_2.0015;Moszczenica
220203_2.0016;Nieøychowice
220203_2.0024;Silno
220203_2.0026;Swornegacie
220203_2.0027;Zbeniny
220204_5.0017;Mokre
220204_5.0023;Z≥otowo
220205_2.0004;Zielona Huta
306401_1.0004;åR”DKA
306401_1.0026;WIELKIE
306401_1.0050;NARAMOWICE
306401_1.0052;WINIARY
306401_1.0013;G£USZYNA II
246601_1.0035;Niepaszyce Po≥udnie
246601_1.0054;Stare Miasto
206201_1.0005;£omøa 5
226301_1.0014;14
226301_1.0016;16
100403_2.0003;Bryski
100403_2.0013;KosiorÛw
100403_2.0017;MÍtlew
100403_2.0022;S≥ugi
100403_2.0024;Tum
101901_1.0016;SZESNASTY
100807_2.0003;GÛrka Pabianicka-3
100807_2.0009;Konin-9
100602_2.0008;STR”ØA
100608_2.0004;GRABINA
100608_2.0002;BORCH”WKA
100608_2.0005;G£OGOWIEC
100611_4.0004;4
100607_4.0006;OBR B 6
100607_4.0002;OBR B 2
101103_5.0043;SWORAWA
101201_1.0012;0012
101201_1.0015;0015
101201_1.0032;0032
101201_1.0042;0042
101205_4.0002;0002
101205_4.0004;0004
101205_4.0005;0005
101205_4.0011;0011
101211_4.0002;0002
100906_2.0007;Kije
100906_2.0012;Marchewki
101007_2.0005;05-£Íki KrÛlewskie
101007_2.0010;10-Paskrzyn
101007_2.0013;13-Stobnica
101007_2.0015;15-Wielkopole
100101_1.0007;07
100101_1.0009;09
100101_1.0010;10
100102_2.0018;KURNOS II
100102_2.0039;ZAWADY
100102_2.0024;MYSZAKI
100105_2.0017;ØAR
100105_2.0015;WIERZCHY PARZE—SKIE
100108_4.0002;2
100108_4.0012;12
100106_2.0001;ALEKSANDR”W
100106_2.0013;NOWA WOLA
100106_2.0004;ANTONINA
101009_4.0001;ObrÍb 1
101009_4.0020;ObrÍb 20
101303_2.0003;CIEL•DZ
101303_2.0023;SANOGOSZCZ
101303_2.0024;SIERZCHOWY
101303_2.0028;WIS”WKA
100211_5.0003;BUDZY—
100211_5.0010;GRZYB”W
100202_2.0019;KAMILEW
100202_2.0028;PNIEWO
021503_5.0011;Mi≥ocice
020305_2.0009;WIERZCHOWNIA
020305_2.0004;KOTOWICE
020302_2.0013;STARE SERBY
020301_1.0009;ØARK”W
020501_1.0001;Gospodarstwo
020501_1.0004;Ogrody
020501_1.0007;Stare Miasto
020501_1.0008;Zacisze
020701_1.0002;Kamienna GÛra-2
020702_2.0005;NOWA BIA£KA
021201_5.0003;ProszÛwka
021201_5.0001;Krzewie Wielkie
021205_4.0001;WleÒ 1
022002_5.0003;Budzicz
022002_5.0004;Chodlewko
022002_5.0011;Kosinowo
022002_5.0014;Ligotka
022002_5.0025;WszemirÛw
022002_5.0026;Wilkowa Ma≥a
306201_1.0016;PπtnÛw
306101_1.0107;107 Zagorzynek
306101_1.0129;129 Ogrody
306101_1.0047;047 Rypinek
306101_1.0066;066 Rypinek
306101_1.0085;085 Rypinek
306101_1.0069;069 Czaszki
306101_1.0137;137 MajkÛw
306101_1.0023;023 Piskorzewie
306101_1.0031;031 Tyniec
306101_1.0067;067 Czaszki
306101_1.0097;097 Zagorzynek
306101_1.0147;147 Piwonice Kol.Wsch.
306101_1.0117;117 Rypinek
306101_1.0127;127 Ogrody
306101_1.0012;012 Chmielnik
306101_1.0056;056 RajskÛw
306101_1.0115;115 Rypinek
306101_1.0151;151 Szczypiorno
306101_1.0032;032 Tyniec
306101_1.0029;029 Tyniec
306101_1.0157;081A Kaliniec
302005_2.0007;KOåCIELNA WIEå
020203_4.0004;STADION
280703_2.0010;Ga≥dowo
280703_2.0020;Laseczno
280703_2.0041;Tynwa≥d
281004_2.0002;BobrÛwko
281004_2.0003;Brejdyny
280610_2.0010;PA—SKA WOLA
280610_2.0013;SIEMIONKI
280610_2.0014;SUCHOLASKI
280103_2.0005;BEZLEDY
280103_2.0014;D B”WKO-KAROLEWKA
280103_2.0015;DRAWA
280103_2.0020;GILE
280103_2.0034;LUSINY
280103_2.0037;£ G
280103_2.0050;PIERGOZY
280103_2.0053;PL SY
280103_2.0072;WAWRZYNY
280103_2.0073;W GORYTY
280802_2.0008;Czaczek
280802_2.0025;Krym≥awki
280802_2.0031;Micha≥kowo
280802_2.0043;Ruta
280802_2.0050;Staniszewo
280302_2.0008;JANKOWICE
280302_2.0009;KISINY
280302_2.0014;KSI ØY DW”R
280302_2.0019;NIESTOJA
280302_2.0021;PIER£AWKI
280302_2.0025;SZENKOWO
280302_2.0029;WYSOKA
280705_2.0014;Omule
280705_2.0026;Z≥otowo
280904_2.0012;Samborek
280904_2.0014;E≥dyty Ma≥e
280202_2.0012;Rodowo
280202_2.0020;Zakrzewiec
180710_2.0008;Wola Wyøna
020703_5.0001;B≥aøejÛw
022503_5.0008;BIA£OPOLE
246701_1.0009;MOSZCZENICA
241711_2.0005;ZwardoÒ
240312_2.0003;KO—CZYCE MA£E
240312_2.0002;KACZYCE G”RNE
240312_2.0004;MARKLOWICE DOLNE
240312_2.0005;MARKLOWICE G”RNE
240308_2.0004;POGWIZD”W
240301_1.0054;54
240301_1.0043;43
240301_1.0078;78
182102_2.0013;SOLINKA
181704_2.0004;Do≥øyca
160706_5.0009;JARNO£T”W
160706_5.0010;KA£K”W
160701_5.0002;BODZAN”W
160202_2.0016;WIECHOWICE
121704_2.0401;Koúcielisko
121703_2.0306;JurgÛw
121703_2.0303;Brzegi
121701_1.0172;172
121108_2.0007;Niedzica
121104_2.0007;SROMOWCE WYØNE
121103_2.0006;KONI”WKA
121007_5.0005;Muszynka
120510_2.0008;Konieczna
120510_2.0020;Zdynia
022507_2.0017;R CZYN
022507_2.0007;KOèLICE
022504_5.0006;PR DOCICE
022503_4.0001;Bogatynia I
022501_1.0001;I
022106_5.0001;GOLI—SK
020813_5.0008;Nowy Giera≥tÛw
020808_5.0004;Lutynia
020808_5.0011;WrzosÛwka
020806_5.0018;Piaskowice
020601_1.0001;KARPACZ-1
161003_2.0044;LASKOWICE
166101_1.0141;CZARNOW•SY
166101_1.0144;BORKI
320407_5.0003;Kopice
320407_5.0005;Gπsierzyno
320407_5.0014;WidzieÒsko
181805_5.0003;Dπbrowa
200402_2.0043;SZYMANY
200401_1.0001;GRAJEWO
247701_1.0001;Tychy
247301_1.0029;GOTARTOWICE
302503_2.0002;BOGUSZYN
140310_4.0001;PILAWA
326301_1.0016;WarszÛw 16
321703_4.0001;M.Miros≥awiec
320605_4.0002;Mieszkowice 2
302111_5.0015;TROJANOWO
302111_4.0001;MUROWANA GOåLINA
022003_5.0023;Marcinowo
300208_5.0021;WIELE— P”£NOCNY
320306_5.0018;Chlebowo
100704_4.0011;11
320306_5.0021;Nowe Worowo
320306_5.0015;Siecino
320306_5.0016;Szczycienko
320306_5.0095;åmidziÍcino
180407_5.0002;Jod≥Ûwka
180602_4.0001;Kolbuszowa
320604_5.0035;We≥tyÒ II
121402_5.0003;Filipowice
121402_5.0010;Modrzany
121402_5.0006;Ksiπønice Ma≥e
121402_5.0020;Jankowice
260413_5.0007;JEZIORKO
260413_4.0001;NOWA S£UPIA
260413_5.0001;BARTOSZOWINY
260413_5.0020;D BNIAK
260413_5.0006;JELENI”W
261208_5.0002;GACKI
260304_5.0004;KAMIENNA
260304_5.0002;CHRUSTOWICE
260304_5.0014;PODSKALE
260304_5.0008;KRAåNI”W
260104_5.0025;ZO£CZA UGORY
260104_5.0017;RATAJE S£UPSKIE
281708_5.0014;PRZEèDZI K MA£Y
100807_2.0019;Porszewice-19
101608_2.0010;KANICE
200702_2.0024;Nowe Kupiski
200704_5.0004;Grzyma≥y
141602_2.0025;Rusko≥Íka-Parcele
201405_2.0033;NOWY BOREK
201404_2.0006;Mroczki Stylπgi
220306_2.0002;GARBEK
300208_5.0022;WRZESZCZYNA
301702_5.0003;BoczkÛw
280705_2.0003;Fijewo
181805_5.0017;Zdziechowice Drugie
141212_5.0002;CHOSZCZE
141212_5.0001;BORKI
141212_5.0020;RUDKA
320905_5.0124;Ch≥opy
320905_5.0006;Gπski
221301_4.0001;Czarna Woda
143703_5.0034;ZDROJKI
143703_5.0032;WYLAZ£OWO
143703_5.0002;BIA£Y DW”R
143703_5.0019;OS”WKA
143703_5.0027;STRASZEWY
143703_5.0006;GOLIATY
241607_5.0001;BISKUPICE
302205_5.0019;Zawady
260108_5.0003;GLUZY SZLACHECKIE
260108_5.0016;SKOTNIKI G”RNE
260108_5.0012;OSTR”W
247101_1.0002;Piekary Wielkie
261203_5.0007;PIECZONOGI
302113_2.0007;NAPACHANIE
302107_2.0001;CHOM CICE
302110_5.0001;BABKI
302110_5.0015;I£”WIEC
142202_5.0046;åCI CIEL
302110_5.0027;DRUØYNA
280101_1.0009;9
226201_1.0010;CHYLONIA
226201_1.0015;GRAB”WEK
226201_1.0016;KAMIENNA G”RA
226201_1.0022;OR£OWO
281708_5.0013;PIWNICE WIELKIE
141308_2.0006;KORZYBIE
141308_2.0007;KOZ£Y JANOWO
226101_1.0046;046
186301_1.0226;226 Mi≥ocin
060506_5.0024;WOLICA I
060506_5.0005;D•BIE
060506_5.0011;MICHA£”WKA
080407_5.0008;ZAK CIE
260412_4.0001;MORAWICA
260407_5.0019;Z£OTA WODA
260407_5.0011;P£UCKI
260407_5.0018;WOLA ZAMKOWA
260407_5.0009;NOWY STAW
300601_5.0017;WOJCIECHOWO
300601_5.0009;£OW CICE
300601_5.0007;£OBEZ
300708_5.0007;D BE KOLONIA
300708_5.0020;T£OKINIA MA£A
300708_5.0002;CHE£MCE
300708_5.0022;T£OKINIA WIELKA
302001_5.0011;PI£A
302003_5.0004;GALEW
302003_5.0006;IZBICZNO
302003_5.0013;SOåNICA
302003_5.0017;TRZEBOWA
060311_5.0006;BRZEZINY
060311_5.0022;MOGIELNICA
060311_5.0014;KAMIONKA
060311_5.0020;MAJDAN ZAHORODY—SKI
060311_5.0013;JULIAN”W
060311_5.0034;WOLA KORYBUTOWA-KOL
060311_5.0023;CHOJNO NOWE PIERWSZE
060311_5.0016;KULIK
060708_5.0016;RANKOWSKIE
061805_5.0017;Ruda Øurawiecka-Osada
061805_5.0019;MachnÛw Stary
061805_5.0026;Øurawce Osada
061805_5.0007;Kornie
260504_5.0015;£YS”W
260504_5.0031;WISY
260504_5.0009;J”èWIK”W
286201_1.0014;Olsztyn 14
286201_1.0022;Olsztyn 22
286201_1.0034;Olsztyn 34
286201_1.0049;Olsztyn 49
286201_1.0056;Olsztyn 56
286201_1.0067;Olsztyn 67
286201_1.0071;Olsztyn 71
286201_1.0078;Olsztyn 78
286201_1.0080;Olsztyn 80
286201_1.0098;Olsztyn 98
286201_1.0099;Olsztyn 99
286201_1.0100;Olsztyn 100
286201_1.0102;Olsztyn 102
286201_1.0107;Olsztyn 107
286201_1.0114;Olsztyn 114
286201_1.0120;Olsztyn 120
286201_1.0121;Olsztyn 121
286201_1.0126;Olsztyn 126
286201_1.0142;Olsztyn 142
286201_1.0143;Olsztyn 143
286201_1.0144;Olsztyn 144
101804_5.0011;KOLONIA J”ZEFINA
100406_5.0011;JAN”WEK
100406_5.0025;POKRZYWNICA
142004_5.0020;PARLIN
142004_5.0026;ROGUSZYN
142004_5.0034;MI•CZYNEK
142004_5.0005;GAWARZEC DOLNY
260903_5.0004;BYSZ”W
260903_5.0018;NAWODZICE
260903_5.0022;P CH”W
260903_5.0005;BYSZ”WKA
260903_5.0031;åNIEKOZY
181606_4.0011;Wola Cicha
240803_1.0032;Orzesze
260103_4.0011;NOWY KORCZYN
260103_5.0022;UCISK”W
260103_5.0018;RZEGOCIN
260103_5.0012;OSTROWCE
260103_5.0009;KAW CZYN
120606_5.0017;Wola Filipowska
141604_4.0001;Brok
141611_2.0023;Rostki-DaÊbogi
143307_2.0022;Z£OTKI
141605_2.0023;Treblinka
141601_1.0001;OstrÛw Mazowiecka
141607_2.0020;NieskÛrz
141605_2.0004;Dani≥owo-Parcele
320706_5.0122;Ko≥czewo 2
320507_2.0002;Pustkowo
261201_2.0020;PE£CZYCE
142301_2.0005;KOCHAN”W
260106_5.0017;STARE K•TY FOLWARKI
260106_5.0006;KL PIE DOLNE
260106_5.0007;KL PIE G”RNE
140404_5.0001;ALEKSANDR”W
140404_5.0006;DZIA£Y
140404_5.0011;MOCARZEWO
040706_5.0032;Popowo
140906_5.0012;LAS GLINIA—SKI
140906_5.0003;GLINA
140906_5.0016;SADKOWICE I
140906_5.0013;PAW£OWICE
021704_5.0005;CHOCIWEL
143805_5.0007;DZIA£KI
143805_5.0013;JESIONKA
143805_5.0014;J”ZEF”W
143805_5.0021;NOWY DRZEWICZ
260209_5.0002;BRZEZINKI
260209_5.0010;KONARY
260209_5.0018;MIERONICE
260209_5.0035;STARA OLSZ”WKA
260209_5.0037;åWI•TNIKI
260209_5.0007;JUDASZE
300705_5.0011;M£YNISKO
300705_5.0018;SM”£KI
300705_5.0005;GA∆ KALISKA
300705_5.0010;MARIAN”W
146505_8.0537;0537
060805_5.0018;STANIS£AW”W DUØY
060805_5.0019;SYRY
060805_5.0022;SAMOKL SKI KOL.NR.2
060805_5.0010;KAMIONKA
060805_5.0002;BIADACZKA
060805_5.0003;BRATNIK
181606_4.0010;StykÛw
321004_5.0007;OtanÛw
180706_2.0001;Kroúcienko Wyøne
180707_2.0002;£Íøany
180707_2.0006;Targowiska
080905_5.0008;Kamionka
060310_2.0020;SAWIN
300602_5.0003;CIELCZA
080907_2.0010;åwidnica
080207_2.0002;ChlebÛw
086201_1.0059;59
086201_1.0045;45
086201_1.0057;57
086201_1.0056;56
086201_1.0048;48
040402_2.0008;Kolno
142011_5.0029;CIEMNIEWO BUDY
142011_5.0021;RZY
142011_5.0026;WIERZB”WIEC
121304_5.0010;£Íki
181704_2.0005;Duszatyn
181704_2.0022;Szczawne
280905_5.0011;MI£KOWO
280202_2.0016;Szyleny
181309_2.0001;Barycz
181302_5.0014;åliwnica
181302_5.0001;BachÛrzec
181310_2.0008;Wyszatyce
100704_5.0035;ZAMECZEK
100706_2.0001;Anielin
181310_2.0004;Buszkowiczki
181303_2.0014;Makowa
100704_5.0025;SITOWA
280706_5.0020;Kamieniec
280706_5.0035;Wπdo≥y
280707_5.0018;Surbajny
280704_5.0008;Klimy
280704_5.0013;£odygowo
100707_2.0033;ZACHORZ”W
121602_2.0001;Gromnik
241102_2.0001;KORNOWAC
061205_5.0002;02-∆WI TALKA
061202_5.0024;24-NIETRZEBA
140307_2.0018;ORONNE
241103_5.0004;PIETRASZYN
061207_2.0018;18-WILK”W
